,0,1,2,3,4,5,6
617,soup,,,,,,
618,burgers,herb & pepper,spaghetti,,,,
619,cookies,shallot,strawberries,,,,
620,fresh tuna,chocolate,shrimp,whole wheat pasta,pepper,mineral water,soup
621,yams,mineral water,avocado,milk,butter,cooking oil,chocolate
622,ham,eggs,french fries,energy drink,,,
623,mineral water,avocado,,,,,
624,cookies,,,,,,
625,chocolate,butter,eggs,green tea,cottage cheese,mayonnaise,
626,eggs,mushroom cream sauce,low fat yogurt,,,,
627,antioxydant juice,chocolate,,,,,
628,ground beef,spaghetti,french fries,green tea,,,
629,cake,,,,,,
630,turkey,red wine,mineral water,pancakes,eggs,whole wheat rice,cooking oil
631,chocolate,parmesan cheese,mineral water,olive oil,bacon,,
632,green grapes,gums,,,,,
633,shrimp,frozen vegetables,parmesan cheese,milk,eggs,cooking oil,chocolate
634,ground beef,mineral water,milk,eggs,,,
635,escalope,,,,,,
636,turkey,cookies,,,,,
637,ground beef,mineral water,chocolate,green tea,,,
638,whole wheat pasta,spaghetti,olive oil,butter,chocolate,french fries,tomato juice
639,red wine,,,,,,
640,frozen vegetables,mineral water,eggs,gums,cooking oil,frozen smoothie,cottage cheese
641,turkey,grated cheese,energy bar,vegetables mix,brownies,,
642,turkey,burgers,nonfat milk,cooking oil,energy drink,,
643,french fries,low fat yogurt,,,,,
644,muffins,,,,,,
645,herb & pepper,mineral water,salmon,whole wheat rice,cake,green tea,
646,mineral water,cake,chocolate,low fat yogurt,candy bars,,
647,grated cheese,mineral water,chocolate,soup,milk,olive oil,light cream
648,mineral water,strawberries,,,,,
649,escalope,,,,,,
650,grated cheese,parmesan cheese,butter,whole wheat rice,cooking oil,,
651,ground beef,mint,,,,,
652,cookies,,,,,,
653,ground beef,avocado,milk,chicken,rice,,
654,frozen vegetables,soup,eggs,low fat yogurt,,,
655,herb & pepper,ground beef,spaghetti,mineral water,chocolate,black tea,french wine
656,shrimp,parmesan cheese,mineral water,eggs,cake,oil,cooking oil
657,ham,herb & pepper,frozen vegetables,tomatoes,spaghetti,olive oil,black tea
658,chicken,cider,eggs,,,,
659,shrimp,tomato sauce,mineral water,chocolate,escalope,mint,
660,energy drink,,,,,,
661,ham,spaghetti,mineral water,energy bar,eggs,cooking oil,pancakes
662,shrimp,frozen vegetables,tomatoes,,,,
663,turkey,herb & pepper,frozen vegetables,ground beef,yams,mineral water,salmon
664,shrimp,mineral water,,,,,
665,turkey,ground beef,spaghetti,soup,escalope,yogurt cake,
666,shrimp,pepper,mineral water,soup,milk,eggs,rice
667,burgers,pancakes,,,,,
668,low fat yogurt,,,,,,
669,mineral water,milk,,,,,
670,milk,,,,,,
671,chocolate,,,,,,
672,whole wheat pasta,mineral water,olive oil,pancakes,,,
673,yams,mineral water,eggs,cake,,,
674,turkey,french fries,,,,,
675,shrimp,spaghetti,yams,mineral water,chocolate,olive oil,light cream
676,mineral water,milk,salmon,green tea,cookies,fresh bread,
677,spaghetti,olive oil,,,,,
678,herb & pepper,spaghetti,,,,,
679,spaghetti,mineral water,soup,salmon,pancakes,chicken,mint green tea
680,frozen vegetables,whole wheat pasta,ground beef,mineral water,chocolate,milk,olive oil
681,green tea,,,,,,
682,burgers,grated cheese,spaghetti,nonfat milk,eggs,gums,chocolate
683,ham,ground beef,olive oil,energy bar,chicken,brownies,white wine
684,whole wheat pasta,mineral water,olive oil,cooking oil,frozen smoothie,green tea,
685,vegetables mix,champagne,,,,,
686,olive oil,,,,,,
687,herb & pepper,ground beef,escalope,pancakes,green tea,,
688,herb & pepper,frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk
689,yams,carrots,,,,,
690,chicken,,,,,,
691,turkey,burgers,herb & pepper,ground beef,yams,mineral water,avocado
692,whole wheat pasta,salmon,antioxydant juice,mint green tea,,,
693,chocolate,french fries,strawberries,fresh bread,,,
694,burgers,chocolate,shrimp,whole wheat pasta,ground beef,soup,energy bar
695,mineral water,butter,pancakes,french fries,frozen smoothie,white wine,low fat yogurt
696,muffins,eggs,,,,,
697,turkey,shrimp,frozen vegetables,eggs,,,
698,burgers,eggs,yogurt cake,,,,
699,burgers,fresh tuna,shrimp,frozen vegetables,whole wheat pasta,yams,mineral water
700,herb & pepper,ground beef,mineral water,chicken,,,
701,frozen smoothie,,,,,,
702,chicken,tomato juice,,,,,
703,whole wheat pasta,olive oil,,,,,
704,milk,energy bar,green tea,,,,
705,grated cheese,herb & pepper,,,,,
706,escalope,green tea,,,,,
707,soup,meatballs,milk,almonds,green tea,,
708,herb & pepper,pet food,cookies,,,,
709,grated cheese,whole wheat pasta,olive oil,energy bar,light cream,oil,french fries
710,honey,,,,,,
711,parmesan cheese,mineral water,fromage blanc,eggs,honey,frozen smoothie,
712,bramble,zucchini,,,,,
713,ground beef,pepper,milk,eggs,green tea,chocolate,white wine
714,chocolate,red wine,butter,french fries,cookies,low fat yogurt,
715,chocolate,spaghetti,bug spray,,,,
716,cookies,,,,,,
717,spaghetti,mineral water,vegetables mix,eggs,whole wheat rice,fresh bread,
718,chocolate,grated cheese,mineral water,salmon,whole wheat rice,burger sauce,escalope
719,spaghetti,champagne,,,,,
720,frozen vegetables,mineral water,,,,,
721,mineral water,body spray,low fat yogurt,,,,
722,herb & pepper,red wine,whole wheat pasta,cake,tomato juice,,
723,burgers,parmesan cheese,eggs,french fries,hot dogs,,
724,mineral water,eggs,pancakes,,,,
725,eggs,french fries,,,,,
726,shrimp,frozen vegetables,tomatoes,spaghetti,,,
727,mineral water,almonds,pancakes,chocolate,french fries,green tea,
728,cake,french fries,escalope,,,,
729,frozen vegetables,spaghetti,mineral water,milk,black tea,french wine,cider
730,almonds,cake,low fat yogurt,,,,
731,french fries,,,,,,
732,hot dogs,,,,,,
733,mineral water,soup,chicken,light cream,green tea,chocolate,champagne
734,ground beef,olive oil,,,,,
735,french fries,cookies,green tea,,,,
736,soup,blueberries,cooking oil,chocolate,cookies,champagne,salt
737,chocolate,french fries,frozen smoothie,escalope,fresh bread,,
738,yams,mint,,,,,
739,frozen vegetables,ground beef,salmon,muffins,chocolate,magazines,
740,fresh tuna,herb & pepper,parmesan cheese,milk,olive oil,pancakes,honey
741,grated cheese,shrimp,butter,whole wheat rice,french fries,escalope,cookies
742,energy bar,eggs,french fries,champagne,body spray,,
743,burgers,eggs,french fries,,,,
744,burgers,shrimp,mineral water,milk,eggs,chocolate,french fries
745,ground beef,mineral water,chocolate,milk,chicken,nonfat milk,green tea
746,mineral water,chicken,,,,,
747,turkey,ground beef,spaghetti,milk,eggs,cake,
748,french fries,green tea,,,,,
749,french fries,escalope,,,,,
750,turkey,sparkling water,,,,,
751,whole wheat pasta,mineral water,olive oil,carrots,protein bar,low fat yogurt,
752,cookies,,,,,,
753,turkey,grated cheese,honey,green beans,french fries,,
754,turkey,red wine,mineral water,chocolate,soup,light cream,rice
755,turkey,eggs,,,,,
756,low fat yogurt,,,,,,
757,nonfat milk,low fat yogurt,,,,,
758,frozen vegetables,low fat yogurt,,,,,
759,herb & pepper,parmesan cheese,whole wheat pasta,mineral water,milk,eggs,low fat yogurt
760,yogurt cake,mint,,,,,
761,sandwich,salt,,,,,
762,shrimp,fresh bread,green tea,,,,
763,pepper,tomato sauce,escalope,,,,
764,mineral water,cake,protein bar,toothpaste,,,
765,candy bars,,,,,,
766,red wine,,,,,,
767,spaghetti,mineral water,honey,strawberries,,,
768,mineral water,eggs,green tea,,,,
769,grated cheese,frozen vegetables,parmesan cheese,french wine,french fries,fresh bread,green tea
770,frozen vegetables,parmesan cheese,whole wheat pasta,spaghetti,mineral water,chocolate,avocado
771,chocolate,grated cheese,shrimp,spaghetti,olive oil,honey,strawberries
772,spaghetti,strawberries,,,,,
773,burgers,chocolate,mushroom cream sauce,,,,
774,mineral water,olive oil,extra dark chocolate,,,,
775,eggs,green tea,,,,,
776,tomato juice,,,,,,
777,muffins,low fat yogurt,,,,,
778,soup,olive oil,pancakes,light cream,champagne,low fat yogurt,
779,mineral water,vegetables mix,low fat yogurt,,,,
780,pepper,mineral water,avocado,pancakes,eggs,honey,green tea
781,pickles,burgers,almonds,honey,frozen smoothie,,
782,bug spray,clothes accessories,cottage cheese,,,,
783,frozen vegetables,ground beef,spaghetti,pancakes,honey,whole wheat rice,green beans
784,spaghetti,mineral water,milk,,,,
785,pancakes,,,,,,
786,muffins,,,,,,
787,frozen vegetables,oil,cereals,,,,
788,turkey,shrimp,mineral water,milk,almonds,strong cheese,cake
789,chocolate,rice,eggplant,hand protein bar,zucchini,,
790,spaghetti,meatballs,nonfat milk,hot dogs,,,
791,frozen vegetables,cake,cookies,pancakes,,,
792,butter,bug spray,french fries,yogurt cake,green tea,,
793,herb & pepper,,,,,,
794,soup,milk,cider,chicken,green beans,,
795,shrimp,spaghetti,mineral water,avocado,milk,salmon,frozen smoothie
796,milk,whole wheat rice,escalope,champagne,,,
797,escalope,pasta,mushroom cream sauce,,,,
798,parmesan cheese,,,,,,
799,grated cheese,spaghetti,french fries,,,,
800,burgers,shrimp,whole wheat pasta,spaghetti,mineral water,milk,olive oil
801,turkey,chocolate,grated cheese,frozen vegetables,ground beef,spaghetti,milk
802,turkey,pepper,chocolate,fromage blanc,eggs,green tea,escalope
803,tomatoes,ground beef,avocado,milk,pancakes,green tea,
804,turkey,mineral water,green tea,protein bar,,,
805,mineral water,low fat yogurt,,,,,
806,pancakes,tomato juice,candy bars,,,,
807,yams,avocado,bacon,oil,french fries,brownies,pancakes
808,shrimp,spaghetti,mineral water,soup,milk,olive oil,chicken
809,chicken,cooking oil,tea,,,,
810,burgers,soup,vegetables mix,pancakes,body spray,melons,protein bar
811,shrimp,pepper,,,,,
812,spaghetti,olive oil,blueberries,,,,
813,muffins,,,,,,
814,grated cheese,herb & pepper,muffins,eggs,low fat yogurt,,
815,grated cheese,frozen vegetables,spaghetti,milk,gums,light cream,cooking oil
816,pepper,pancakes,french fries,tomato juice,,,
817,frozen vegetables,tomatoes,parmesan cheese,ground beef,tomato sauce,milk,extra dark chocolate
818,olive oil,chicken,chocolate,cookies,green tea,,
819,whole wheat pasta,ground beef,spaghetti,chocolate,french wine,pancakes,eggs
820,eggs,cottage cheese,,,,,
821,muffins,cottage cheese,,,,,
822,green tea,frozen smoothie,white wine,,,,
823,mineral water,chocolate,rice,champagne,,,
824,mineral water,,,,,,
825,shrimp,whole wheat pasta,meatballs,milk,,,
826,herb & pepper,parmesan cheese,ground beef,pepper,spaghetti,cream,black tea
827,grated cheese,shrimp,parmesan cheese,ground beef,mineral water,mint,
828,mineral water,rice,,,,,
829,pancakes,,,,,,
830,mineral water,honey,,,,,
831,burgers,ground beef,pancakes,salt,,,
832,parmesan cheese,soda,french fries,brownies,,,
833,whole wheat rice,,,,,,
834,ground beef,spaghetti,chicken,rice,oil,cooking oil,hot dogs
835,butter,chocolate,,,,,
836,pepper,,,,,,
837,herb & pepper,chocolate,champagne,yogurt cake,green tea,,
838,grated cheese,mineral water,eggs,escalope,,,
839,cookies,yogurt cake,light mayo,green tea,,,
840,milk,cooking oil,,,,,
841,milk,olive oil,light cream,cooking oil,chicken,extra dark chocolate,cereals
842,tomatoes,soup,avocado,milk,yogurt cake,energy drink,low fat yogurt
843,ham,chocolate,ground beef,mineral water,oil,,
844,green tea,champagne,escalope,,,,
845,chocolate,,,,,,
846,escalope,pasta,,,,,
847,burgers,mineral water,olive oil,rice,antioxydant juice,frozen smoothie,
848,green tea,,,,,,
849,grated cheese,tomato sauce,spaghetti,milk,pancakes,energy drink,white wine
850,turkey,spaghetti,strong cheese,strawberries,,,
851,muffins,,,,,,
852,ground beef,spaghetti,cider,cooking oil,cookies,,
853,burgers,frozen vegetables,parmesan cheese,spaghetti,fromage blanc,vegetables mix,pancakes
854,ground beef,,,,,,
855,green beans,,,,,,
856,frozen vegetables,mineral water,honey,whole wheat rice,champagne,escalope,
857,parmesan cheese,milk,butter,black tea,eggs,frozen smoothie,light mayo
858,mineral water,cake,,,,,
859,turkey,mineral water,milk,pancakes,whole wheat rice,cooking oil,frozen smoothie
860,avocado,chocolate,french fries,,,,
861,green tea,,,,,,
862,chocolate,eggs,bug spray,,,,
863,grated cheese,muffins,french fries,body spray,,,
864,mineral water,eggs,blueberries,soda,escalope,,
865,whole wheat rice,,,,,,
866,nonfat milk,cookies,mushroom cream sauce,,,,
867,french fries,champagne,,,,,
868,mineral water,salmon,,,,,
869,olive oil,,,,,,
870,turkey,tomatoes,ground beef,soup,milk,butter,honey
871,parmesan cheese,spaghetti,mineral water,chocolate,napkins,low fat yogurt,
872,burgers,parmesan cheese,chocolate,soup,milk,olive oil,energy bar
873,shrimp,honey,pasta,energy drink,green tea,,
874,fresh tuna,chocolate,milk,french wine,muffins,pancakes,champagne
875,strawberries,,,,,,
876,herb & pepper,,,,,,
877,herb & pepper,frozen vegetables,tomatoes,parmesan cheese,ground beef,fromage blanc,eggs
878,spaghetti,mineral water,milk,strong cheese,cereals,escalope,cottage cheese
879,turkey,burgers,fresh tuna,spaghetti,pancakes,eggs,cake
880,eggplant,,,,,,
881,burgers,spaghetti,mineral water,almonds,honey,extra dark chocolate,carrots
882,chocolate,french fries,frozen smoothie,cottage cheese,strawberries,light mayo,
883,strong cheese,,,,,,
884,chocolate,french fries,,,,,
885,chocolate,french fries,strawberries,,,,
886,turkey,frozen vegetables,avocado,cake,light cream,cooking oil,chicken
887,olive oil,energy bar,shallot,,,,
888,turkey,shrimp,,,,,
889,chocolate,spaghetti,champagne,yogurt cake,,,
890,shrimp,mineral water,chocolate,avocado,butter,zucchini,green tea
891,muffins,green tea,brownies,,,,
892,yogurt cake,,,,,,
893,turkey,tomato sauce,milk,butter,bacon,salmon,cooking oil
894,grated cheese,,,,,,
895,butter,burger sauce,brownies,pancakes,,,
896,butter,pancakes,whole wheat rice,green tea,french fries,cookies,shallot
897,shrimp,chocolate,butter,cooking oil,escalope,,
898,burgers,red wine,frozen vegetables,pepper,spaghetti,chocolate,milk
899,turkey,ground beef,spaghetti,pancakes,eggs,cake,chili
900,shrimp,milk,butter,chicken,salt,mayonnaise,green tea
901,fresh tuna,mineral water,fromage blanc,honey,gums,chocolate,french fries
902,chocolate,cookies,,,,,
903,sparkling water,light mayo,,,,,
904,frozen vegetables,tomatoes,spaghetti,chicken,french fries,escalope,
905,turkey,burgers,butter,vegetables mix,green grapes,pancakes,eggs
906,red wine,shrimp,yams,eggs,burger sauce,yogurt cake,
907,french fries,light mayo,,,,,
908,burgers,ground beef,eggs,chocolate,champagne,zucchini,
909,mushroom cream sauce,,,,,,
910,butter,mint green tea,,,,,
911,whole wheat rice,,,,,,
912,gums,,,,,,
913,mineral water,french fries,champagne,green tea,,,
914,cereals,salt,green tea,,,,
915,shrimp,spaghetti,chocolate,french fries,escalope,cookies,brownies
916,ham,spaghetti,yams,chicken,cooking oil,chocolate,hot dogs
917,eggs,,,,,,
918,ground beef,olive oil,bug spray,frozen smoothie,hot dogs,,
919,frozen vegetables,spaghetti,mineral water,soup,olive oil,escalope,
920,whole wheat rice,oil,chicken,french fries,escalope,,
921,green tea,,,,,,
922,parmesan cheese,whole wheat rice,escalope,champagne,,,
923,fresh tuna,frozen vegetables,chicken,fromage blanc,honey,light mayo,
924,ground beef,,,,,,
925,muffins,champagne,cookies,fresh bread,green tea,,
926,frozen vegetables,spaghetti,chocolate,escalope,fresh bread,,
927,pickles,spaghetti,french fries,frozen smoothie,,,
928,avocado,,,,,,
929,sandwich,,,,,,
930,spaghetti,milk,oil,shampoo,,,
931,champagne,,,,,,
932,spaghetti,,,,,,
933,champagne,,,,,,
934,avocado,milk,butter,french fries,cookies,,
935,turkey,frozen vegetables,chicken,eggs,frozen smoothie,cauliflower,low fat yogurt
936,burgers,shrimp,tomatoes,milk,energy bar,almonds,chicken
937,burgers,milk,cake,cooking oil,french fries,escalope,zucchini
938,tomatoes,spaghetti,chocolate,milk,olive oil,whole wheat rice,cake
939,fresh tuna,red wine,pepper,spaghetti,fromage blanc,salmon,pancakes
940,milk,low fat yogurt,,,,,
941,shrimp,parmesan cheese,soup,chocolate,brownies,,
942,spaghetti,chicken,,,,,
943,grated cheese,vegetables mix,nonfat milk,green tea,,,
944,fresh tuna,parmesan cheese,cider,muffins,spinach,honey,oil
945,cake,,,,,,
946,shrimp,chocolate,mushroom cream sauce,candy bars,,,
947,candy bars,,,,,,
948,avocado,honey,,,,,
949,shrimp,frozen vegetables,tomatoes,cottage cheese,,,
950,french fries,,,,,,
951,strawberries,,,,,,
952,ground beef,almonds,french fries,escalope,,,
953,grated cheese,spaghetti,,,,,
954,turkey,mineral water,butter,frozen smoothie,,,
955,frozen vegetables,spaghetti,french fries,light mayo,green tea,,
956,burgers,ham,spaghetti,whole wheat rice,eggplant,chocolate,cookies
957,grated cheese,frozen vegetables,spaghetti,avocado,milk,blueberries,light cream
958,burgers,shrimp,tomatoes,bacon,whole wheat rice,green tea,
959,parmesan cheese,pancakes,,,,,
960,parmesan cheese,cake,hot dogs,green tea,,,
961,spaghetti,milk,fromage blanc,ketchup,chocolate,babies food,
962,mint,,,,,,
963,chocolate,mint,,,,,
964,butter,french fries,salt,fresh bread,,,
965,chocolate,french fries,strawberries,yogurt cake,light mayo,,
966,eggs,eggplant,cookies,,,,
967,yogurt cake,,,,,,
968,herb & pepper,spaghetti,meatballs,milk,olive oil,chicken,honey
969,frozen vegetables,rice,chocolate,,,,
970,herb & pepper,ground beef,spaghetti,chocolate,milk,eggs,light cream
971,eggs,champagne,,,,,
972,whole wheat pasta,ground beef,olive oil,blueberries,escalope,,
973,burgers,red wine,mineral water,eggs,oil,carrots,hand protein bar
974,chocolate,grated cheese,herb & pepper,mineral water,soup,olive oil,
975,burgers,shrimp,mineral water,chicken,fromage blanc,salmon,eggs
976,green tea,,,,,,
977,cookies,,,,,,
978,french fries,cookies,,,,,
979,milk,butter,eggs,,,,
980,eggs,mushroom cream sauce,low fat yogurt,,,,
981,eggs,green tea,,,,,
982,mineral water,whole wheat rice,,,,,
983,shrimp,frozen vegetables,parmesan cheese,mineral water,whole wheat rice,cake,
984,whole wheat rice,pancakes,,,,,
985,frozen vegetables,spaghetti,olive oil,butter,salmon,oil,cooking oil
986,green tea,,,,,,
987,fresh tuna,eggs,escalope,strawberries,,,
988,spaghetti,soup,milk,carrots,chocolate,,
989,burgers,mineral water,soup,meatballs,olive oil,,
990,grated cheese,mineral water,cooking oil,french fries,cookies,low fat yogurt,
991,shrimp,milk,olive oil,french fries,,,
992,frozen vegetables,mineral water,pancakes,cake,tomato juice,,
993,spaghetti,milk,chicken,,,,
994,grated cheese,mineral water,chicken,french fries,cottage cheese,pancakes,
995,ground beef,mineral water,milk,eggs,mint,,
996,shrimp,body spray,green tea,,,,
997,frozen smoothie,,,,,,
998,herb & pepper,frozen vegetables,mineral water,muffins,cereals,,
999,turkey,tomatoes,spaghetti,milk,cider,eggs,honey
1000,herb & pepper,red wine,spaghetti,eggs,whole wheat rice,chocolate,french fries
1001,green tea,,,,,,
1002,grated cheese,ground beef,spaghetti,chicken,extra dark chocolate,cereals,hot dogs
1003,flax seed,chocolate,champagne,escalope,,,
1004,chocolate,escalope,mushroom cream sauce,low fat yogurt,,,
1005,burgers,ham,chocolate,pancakes,cereals,,
1006,escalope,mint,,,,,
1007,chocolate,grated cheese,parmesan cheese,spaghetti,pancakes,eggs,cake
1008,pickles,spaghetti,mineral water,olive oil,cooking oil,cereals,french fries
1009,ground beef,mineral water,milk,spinach,,,
1010,pancakes,melons,green tea,,,,
1011,pancakes,energy drink,melons,green tea,,,
1012,chocolate,french fries,,,,,
1013,magazines,,,,,,
1014,spaghetti,eggs,chocolate,frozen smoothie,cookies,green tea,
1015,mineral water,,,,,,
1016,burgers,ham,grated cheese,mineral water,chocolate,olive oil,salmon
1017,burgers,bacon,eggs,cookies,green tea,,
1018,frozen vegetables,almonds,pancakes,soda,,,
1019,turkey,herb & pepper,frozen vegetables,tomatoes,chocolate,milk,clothes accessories
1020,spinach,mint,,,,,
1021,turkey,burgers,yams,french fries,,,
1022,turkey,spaghetti,soda,,,,
1023,chocolate,frozen vegetables,tomatoes,ground beef,tomato sauce,spaghetti,avocado
1024,frozen vegetables,tomatoes,spaghetti,mineral water,fresh bread,white wine,zucchini
1025,escalope,,,,,,
1026,shrimp,parmesan cheese,eggs,cake,green tea,french fries,
1027,chocolate,whole wheat pasta,bacon,salmon,hot dogs,low fat yogurt,
1028,grated cheese,,,,,,
1029,eggs,,,,,,
1030,chocolate,,,,,,
1031,burgers,frozen vegetables,mineral water,milk,fromage blanc,cake,cooking oil
1032,spinach,chocolate,french fries,,,,
1033,frozen vegetables,avocado,whole weat flour,frozen smoothie,,,
1034,escalope,,,,,,
1035,escalope,,,,,,
1036,eggs,whole wheat rice,,,,,
1037,shrimp,frozen vegetables,mineral water,green tea,,,
1038,milk,hand protein bar,,,,,
1039,french fries,hand protein bar,,,,,
1040,cookies,,,,,,
1041,burgers,spaghetti,mineral water,,,,
1042,grated cheese,ground beef,mineral water,soup,olive oil,eggs,honey
1043,pet food,,,,,,
1044,turkey,burgers,frozen vegetables,mineral water,milk,cake,chicken
1045,oil,shampoo,low fat yogurt,,,,
1046,chocolate,red wine,spaghetti,eggs,green tea,,
1047,herb & pepper,pancakes,eggs,light cream,light mayo,,
1048,avocado,butter,chocolate,french fries,cookies,strawberries,hand protein bar
1049,grated cheese,shrimp,spaghetti,pancakes,cooking oil,cookies,
1050,soup,olive oil,light cream,extra dark chocolate,low fat yogurt,,
1051,chocolate,mushroom cream sauce,,,,,
1052,olive oil,,,,,,
1053,olive oil,energy bar,frozen smoothie,pancakes,,,
1054,pancakes,,,,,,
1055,mineral water,salmon,yogurt cake,,,,
1056,grated cheese,herb & pepper,mineral water,soup,eggs,cake,
1057,eggs,brownies,,,,,
1058,shrimp,spaghetti,mineral water,milk,french wine,strong cheese,eggs
1059,shrimp,milk,whole wheat rice,rice,,,
1060,french fries,pancakes,yogurt cake,low fat yogurt,green tea,,
1061,chicken,eggs,,,,,
1062,french fries,,,,,,
1063,nonfat milk,,,,,,
1064,burgers,ham,chocolate,ground beef,spaghetti,mineral water,bug spray
1065,herb & pepper,whole wheat pasta,spaghetti,honey,green tea,,
1066,fresh tuna,mineral water,french wine,vegetables mix,eggs,rice,chili
1067,tomato sauce,spaghetti,mineral water,chocolate,honey,cooking oil,champagne
1068,parmesan cheese,ground beef,,,,,
1069,frozen vegetables,tomatoes,mineral water,strawberries,pancakes,,
1070,turkey,ham,frozen vegetables,whole wheat pasta,spaghetti,mineral water,olive oil
1071,pepper,spaghetti,eggs,bug spray,pancakes,energy drink,green tea
1072,shrimp,spaghetti,black tea,eggs,cake,cookies,low fat yogurt
1073,red wine,cake,french fries,cookies,protein bar,hand protein bar,tomato juice
1074,burgers,grated cheese,,,,,
1075,ground beef,spaghetti,milk,,,,
1076,oil,salt,low fat yogurt,,,,
1077,cookies,,,,,,
1078,low fat yogurt,,,,,,
1079,tomatoes,ground beef,spaghetti,mineral water,strawberries,cauliflower,
1080,green tea,,,,,,
1081,mushroom cream sauce,yogurt cake,,,,,
1082,pepper,burger sauce,antioxydant juice,energy drink,,,
1083,turkey,whole wheat pasta,spaghetti,mineral water,black tea,pancakes,eggs
1084,ham,herb & pepper,frozen vegetables,tomatoes,whole wheat pasta,spaghetti,mineral water
1085,mineral water,eggplant,french fries,escalope,tomato juice,toothpaste,
1086,avocado,white wine,,,,,
1087,red wine,extra dark chocolate,whole weat flour,,,,
1088,strawberries,fresh bread,white wine,,,,
1089,chocolate,frozen smoothie,escalope,,,,
1090,energy bar,cake,cottage cheese,gluten free bar,,,
1091,mineral water,milk,vegetables mix,chicken,green tea,chocolate,frozen smoothie
1092,shrimp,tomatoes,parmesan cheese,spaghetti,avocado,meatballs,milk
1093,frozen vegetables,mineral water,french wine,eggs,cereals,chocolate,salt
1094,cereals,french fries,,,,,
1095,mineral water,energy bar,cake,french fries,,,
1096,french fries,frozen smoothie,,,,,
1097,burgers,milk,hot dogs,,,,
1098,ground beef,mineral water,chocolate,milk,olive oil,black tea,chicken
1099,whole wheat pasta,spaghetti,meatballs,milk,french fries,low fat yogurt,
1100,spaghetti,,,,,,
1101,burgers,tomatoes,ground beef,escalope,,,
1102,energy bar,chocolate,champagne,,,,
1103,chocolate,ground beef,blueberries,burger sauce,green tea,,
1104,mineral water,milk,pancakes,,,,
1105,burgers,french wine,eggs,green beans,clothes accessories,,
1106,mineral water,whole wheat rice,,,,,
1107,ground beef,pepper,mineral water,chocolate,white wine,,
1108,shrimp,spinach,,,,,
1109,muffins,hot dogs,brownies,,,,
1110,ground beef,frozen smoothie,cottage cheese,mint,,,
1111,fresh tuna,frozen vegetables,parmesan cheese,pepper,spaghetti,milk,olive oil
1112,green tea,,,,,,
1113,shrimp,vegetables mix,cookies,mushroom cream sauce,hot dogs,,
1114,mint,,,,,,
1115,spaghetti,pancakes,,,,,
1116,mineral water,honey,cake,,,,
1117,soda,oil,barbecue sauce,pancakes,,,
1118,chocolate,spaghetti,mineral water,pancakes,cake,cookies,
1119,chocolate,milk,clothes accessories,,,,
1120,fresh tuna,avocado,vegetables mix,green grapes,honey,whole weat flour,french fries
1121,mineral water,meatballs,french fries,strawberries,green tea,,
1122,shrimp,champagne,pasta,magazines,,,
1123,cookies,,,,,,
1124,turkey,yams,whole wheat rice,cooking oil,brownies,,
1125,chocolate,frozen vegetables,light mayo,green tea,,,
1126,turkey,escalope,,,,,
1127,escalope,,,,,,
1128,spaghetti,chicken,green tea,white wine,,,
1129,spinach,,,,,,
1130,chocolate,mineral water,,,,,
1131,cookies,,,,,,
1132,milk,pancakes,,,,,
1133,vegetables mix,antioxydant juice,french fries,,,,
1134,chocolate,brownies,pancakes,,,,
1135,milk,cake,gums,french fries,green tea,,
1136,shrimp,mineral water,black tea,cookies,,,
1137,ham,milk,,,,,
1138,ground beef,chocolate,salmon,hot dogs,,,
1139,turkey,burgers,mineral water,chocolate,avocado,cake,frozen smoothie
1140,milk,chicken,mint green tea,,,,
1141,ground beef,spaghetti,honey,sandwich,,,
1142,milk,eggs,cake,french fries,,,
1143,oil,,,,,,
1144,shrimp,tomatoes,parmesan cheese,whole wheat pasta,black tea,eggs,oil
1145,herb & pepper,ground beef,mineral water,meatballs,milk,energy bar,chicken
1146,avocado,champagne,,,,,
1147,soup,oatmeal,green tea,,,,
1148,chocolate,,,,,,
1149,burgers,pancakes,green tea,french fries,,,
1150,tomato sauce,,,,,,
1151,clothes accessories,french fries,frozen smoothie,escalope,,,
1152,yams,mineral water,cake,chocolate,french fries,champagne,strawberries
1153,turkey,grated cheese,energy drink,,,,
1154,pickles,herb & pepper,frozen vegetables,cider,eggs,brownies,pancakes
1155,oil,,,,,,
1156,soup,,,,,,
1157,tomato sauce,mint,,,,,
1158,mineral water,chicken,,,,,
1159,burgers,brownies,,,,,
1160,french fries,,,,,,
1161,mineral water,chocolate,french fries,cookies,,,
1162,chicken,,,,,,
1163,chicken,white wine,,,,,
1164,spaghetti,champagne,cottage cheese,pancakes,light mayo,green tea,
1165,olive oil,,,,,,
1166,milk,,,,,,
1167,grated cheese,herb & pepper,spaghetti,milk,green tea,,
1168,mineral water,french fries,,,,,
1169,cookies,,,,,,
1170,ham,red wine,corn,green tea,,,
1171,french fries,,,,,,
1172,escalope,,,,,,
1173,mineral water,milk,,,,,
1174,chocolate,mineral water,,,,,
1175,tomatoes,,,,,,
1176,grated cheese,butter,eggs,cooking oil,,,
1177,oil,,,,,,
1178,mineral water,green tea,,,,,
1179,tomatoes,ground beef,mineral water,eggs,cake,green tea,pancakes
1180,ground beef,green tea,protein bar,,,,
1181,fresh tuna,mineral water,soup,avocado,,,
1182,muffins,french fries,escalope,gluten free bar,,,
1183,burgers,mineral water,whole wheat rice,french fries,,,
